"location","EffectSize","pvalue","att_estimator","ScaledL2Imbalance","power"
"market_001, market_002",-0.1,0,-41.134614289348,0.986168279949522,1
"market_001, market_003",-0.1,0,-45.2027785838567,0.957697134648992,1
"market_001, market_004",-0.1,0,-33.0350862465526,0.983955924870118,1
"market_001, market_005",-0.1,0,-48.7530703136662,0.863075386912166,1
"market_001, market_006",-0.1,0,-49.3963846812077,0.941458870749207,1
"market_001, market_007",-0.1,0,-49.9267141027356,0.91872946944337,1
"market_001, market_008",-0.1,0,-39.3166977499568,0.927017347724189,1
"market_002, market_003",-0.1,0,-33.0597385631787,0.878721209609022,1
"market_002, market_004",-0.1,0.163,-18.5371517039069,0.906808100034487,0
"market_002, market_005",-0.1,0,-36.3248282115329,0.959263358565188,1
"market_002, market_006",-0.1,0,-37.3068903570118,0.919331575420422,1
"market_002, market_007",-0.1,0,-38.9616814411347,0.971072375060908,1
"market_002, market_008",-0.1,0,-28.6148233992811,0.960594921565448,1
"market_003, market_004",-0.1,0.002,-24.6259812868121,0.910109606484961,1
"market_003, market_005",-0.1,0,-41.2728075106224,0.984321504307465,1
"market_003, market_006",-0.1,0,-42.5302014595288,0.959553938556198,1
"market_003, market_007",-0.1,0,-43.4497718779918,0.992584521626001,1
"market_003, market_008",-0.1,0,-33.7082126761388,0.954085959688271,1
"market_004, market_005",-0.1,0,-28.4253244562724,0.986290757875185,1
"market_004, market_006",-0.1,0,-28.6124509017883,0.930651837651762,1
"market_004, market_007",-0.1,0,-31.3161048579369,0.973568408756238,1
"market_004, market_008",-0.1,0.002,-20.3145365782936,0.964390337430684,1
"market_005, market_006",-0.1,0,-45.6985318857605,0.978636102752337,1
"market_005, market_007",-0.1,0,-47.4401426604155,0.940629852371448,1
"market_005, market_008",-0.1,0,-36.9322400707511,0.948005270395908,1
"market_006, market_007",-0.1,0,-48.2825114827908,0.960660662411684,1
"market_006, market_008",-0.1,0,-37.5657120952664,0.980736737888585,1
"market_007, market_008",-0.1,0,-40.2321545493759,0.921471252302932,1
"market_001, market_002",0,0.046,2.9760999963663,0.986168279949522,1
"market_001, market_003",0,0.073,-0.234921440999512,0.957697134648992,1
"market_001, market_004",0,0.292,7.13277089630446,0.983955924870118,0
"market_001, market_005",0,0.19,4.1040725434767,0.863075386912166,0
"market_001, market_006",0,0.258,-1.59281325263627,0.941458870749207,0
"market_001, market_007",0,0.411,7.37685732583584,0.91872946944337,0
"market_001, market_008",0,0.688,7.85473082147174,0.927017347724189,0
"market_002, market_003",0,0.515,-5.05259570603585,0.878721209609022,0
"market_002, market_004",0,0.742,4.669991153236,0.906808100034487,0
"market_002, market_005",0,0.069,-0.428399640104349,0.959263358565188,1
"market_002, market_006",0,0.271,-6.46403321415463,0.919331575420422,0
"market_002, market_007",0,0.977,1.38117570172251,0.971072375060908,0
"market_002, market_008",0,0.738,1.59589088643315,0.960594921565448,0
"market_003, market_004",0,0.563,-0.561695572526397,0.910109606484961,0
"market_003, market_005",0,0.474,-4.51923608205094,0.984321504307465,0
"market_003, market_006",0,0.146,-10.8302014595288,0.959553938556198,0
"market_003, market_007",0,0.267,-2.2497718779918,0.992584521626001,0
"market_003, market_008",0,0.973,-2.6403555332817,0.954085959688271,0
"market_004, market_005",0,0.831,3.52824697229906,0.986290757875185,0
"market_004, market_006",0,0.749,-1.71245090178835,0.930651837651762,0
"market_004, market_007",0,0.001,5.08389514206309,0.973568408756238,1
"market_004, market_008",0,0.21,5.95332056456355,0.964390337430684,0
"market_005, market_006",0,0.663,-6.10924617147482,0.978636102752337,0
"market_005, market_007",0,0.05,1.64914305387025,0.940629852371448,1
"market_005, market_008",0,0.532,2.02490278639172,0.948005270395908,0
"market_006, market_007",0,0.025,-4.24679719707651,0.960660662411684,1
"market_006, market_008",0,0.124,-3.662140666695,0.980736737888585,0
"market_007, market_008",0,0.111,3.17141687919548,0.921471252302932,0
"market_001, market_002",0.1,0,47.0868142820806,0.986168279949522,1
"market_001, market_003",0.1,0,44.7329357018576,0.957697134648992,1
"market_001, market_004",0.1,0,47.3006280391616,0.983955924870118,1
"market_001, market_005",0.1,0,56.9612154006196,0.863075386912166,1
"market_001, market_006",0.1,0,46.2107581759352,0.941458870749207,1
"market_001, market_007",0.1,0,64.6804287544073,0.91872946944337,1
"market_001, market_008",0.1,0,55.0261593929004,0.927017347724189,1
"market_002, market_003",0.1,0.004,22.954547151107,0.878721209609022,1
"market_002, market_004",0.1,0.005,27.8771340103789,0.906808100034487,1
"market_002, market_005",0.1,0,35.4680289313242,0.959263358565188,1
"market_002, market_006",0.1,0,24.3788239287025,0.919331575420422,1
"market_002, market_007",0.1,0,41.7240328445797,0.971072375060908,1
"market_002, market_008",0.1,0,31.8066051721475,0.960594921565448,1
"market_003, market_004",0.1,0.004,23.5025901417593,0.910109606484961,1
"market_003, market_005",0.1,0,32.2343353465205,0.984321504307465,1
"market_003, market_006",0.1,0.001,20.8697985404712,0.959553938556198,1
"market_003, market_007",0.1,0,38.9502281220082,0.992584521626001,1
"market_003, market_008",0.1,0,28.4275016095755,0.954085959688271,1
"market_004, market_005",0.1,0,35.4818184008705,0.986290757875185,1
"market_004, market_006",0.1,0,25.1875490982117,0.930651837651762,1
"market_004, market_007",0.1,0,41.4838951420631,0.973568408756238,1
"market_004, market_008",0.1,0,32.2211777074207,0.964390337430684,1
"market_005, market_006",0.1,0,33.480039542811,0.978636102752337,1
"market_005, market_007",0.1,0,50.738428768156,0.940629852371448,1
"market_005, market_008",0.1,0,40.9820456435346,0.948005270395908,1
"market_006, market_007",0.1,0,39.7889170886378,0.960660662411684,1
"market_006, market_008",0.1,0,30.2414307618765,0.980736737888585,1
"market_007, market_008",0.1,0,46.5749883077669,0.921471252302932,1
